query_id,input_text,retrieved_indices,retrieved_scores,method,num_results,max_score,min_score,avg_score
0,쉬프트(Shift)와 탭(Tab)을 이용한 공백의 사용은 표준어 사용에 적합하지 않으므로 사용하지 않는다.,"[122, 57, 83, 18, 78, 13, 81, 16, 130, 86]","[0.8232653737068176, 0.8232653737068176, 0.817653477191925, 0.817653477191925, 0.8160936236381531, 0.8160936236381531, 0.8070937991142273, 0.8070937991142273, 0.8007683753967285, 0.799308717250824]",method2_semantic_embedding,10,0.8232653737068176,0.799308717250824,0.8128289639949798
1,에스컬레이터(escalator)의 원어 발음은 [ˈɛskələˌtər]로 [ə]는 '어'로 표기한다. 따라서 '에스커레이터'가 아니라 '에스컬레이터'가 옳다.,"[160, 171, 167, 168, 86, 21, 172, 170, 161, 174]","[0.7350879311561584, 0.7241784334182739, 0.7207167744636536, 0.7154293656349182, 0.7140588760375977, 0.7140588760375977, 0.7006528973579407, 0.7005709409713745, 0.700025200843811, 0.698883593082428]",method2_semantic_embedding,10,0.7350879311561584,0.698883593082428,0.7123662889003753
2,"'가만'은 '말없이, 움직이지 않다'의 뜻을 나타내고 '가만히'는 '말없이, 움직이지 않게'의 뜻을 나타낸다. '가만'과 '가만히'는 모두 독립적인 단어이므로 띄어 쓴다. '가만가만히'는 '가만히'에 '가만히'가 붙어 '말없이, 움직이지 않게'의 뜻을 나타내므로 하나의 단어이므로 붙여 쓴다.","[104, 39, 152, 92, 27, 116, 51, 99, 34, 83]","[0.8373574018478394, 0.8373574018478394, 0.8267303705215454, 0.8192175626754761, 0.8192175626754761, 0.8191225528717041, 0.8191225528717041, 0.813137948513031, 0.813137948513031, 0.8114481568336487]",method2_semantic_embedding,10,0.8373574018478394,0.8114481568336487,0.8215849459171295
3,'이익'은 '이익을 얻다'의 준말이다. '이익'의 준말인 '이익'은 '이익을 얻다'의 준말이므로 '이익'으로 써야 한다.,"[104, 39, 71, 6, 78, 13, 83, 18, 97, 32]","[0.776736319065094, 0.776736319065094, 0.7691954970359802, 0.7691954970359802, 0.7646173238754272, 0.7646173238754272, 0.761748731136322, 0.761748731136322, 0.7614227533340454, 0.7614227533340454]",method2_semantic_embedding,10,0.776736319065094,0.7614227533340454,0.7667441248893738
4,"'이로서'는 '이로'와 '서'의 합성어이다. 이는 '이로'가 관형사로, '서'가 보조 용언으로 쓰이므로 합성어로 보아 붙여 쓴다.","[104, 39, 92, 27, 96, 31, 107, 42, 99, 34]","[0.8855152130126953, 0.8855152130126953, 0.8580998182296753, 0.8580998182296753, 0.8536879420280457, 0.8536879420280457, 0.8534839153289795, 0.8534839153289795, 0.8495375514030457, 0.8495375514030457]",method2_semantic_embedding,10,0.8855152130126953,0.8495375514030457,0.8600648880004883
5,"괄호 안의 내용이 전체를 설명하는 경우, 괄호를 붙여 쓴다.","[142, 148, 145, 150, 149, 140, 147, 146, 143, 122]","[0.9062838554382324, 0.845364511013031, 0.8159606456756592, 0.8004047274589539, 0.79904705286026, 0.788528323173523, 0.7864068746566772, 0.7803177833557129, 0.7760072350502014, 0.7742244005203247]",method2_semantic_embedding,10,0.9062838554382324,0.7742244005203247,0.8072545409202576
6,사이트(site)의 원어 발음은 [sait]로 [s]는 '싸'로 적고 [a]는 '아'로 적는다. 따라서 '싸이트'가 아니라 '사이트'가 옳다.,"[168, 64, 129, 177, 172, 72, 7, 67, 2, 86]","[0.7736316323280334, 0.771999716758728, 0.7719676494598389, 0.7696415781974792, 0.7693209648132324, 0.767510712146759, 0.767510712146759, 0.7662994861602783, 0.7662994861602783, 0.7649528980255127]",method2_semantic_embedding,10,0.7736316323280334,0.7649528980255127,0.7689134836196899
7,"한자어 '자'는 '자'로만 적을 때는 모음 앞에서만 나타나고, '자' 뒤에 모음이 들어오면 '차'로 적는다. '빈자떡'의 '자' 뒤에 '아'가 온다 하더라도 '차'로 적는다. 따라서 '빈자떡'이 옳다.","[64, 129, 107, 42, 88, 23, 125, 60, 90, 25]","[0.8475992679595947, 0.8475990295410156, 0.8366273045539856, 0.8366273045539856, 0.8332972526550293, 0.8332972526550293, 0.826704204082489, 0.826704204082489, 0.8185189366340637, 0.8185189366340637]",method2_semantic_embedding,10,0.8475992679595947,0.8185189366340637,0.8325493693351745
8,"'곱빼기'는 '곱'과 '빼기'가 결합한 복합어이다. 복합어의 구성 요소가 하나의 단어를 나타내는 경우, 그 구성 요소를 붙여 쓴다. '곱빼기'의 구성 요소인 '빼기'는 하나의 단어이므로 '곱빼기'를 '곱-빼기'가 아니라 하나의 단어로 적는다.","[104, 39, 83, 18, 165, 122, 57, 78, 13, 92]","[0.8667585849761963, 0.8667585849761963, 0.8451616764068604, 0.8451616764068604, 0.8396478295326233, 0.8395971059799194, 0.8395971059799194, 0.8203722238540649, 0.8203722238540649, 0.8179036378860474]",method2_semantic_embedding,10,0.8667585849761963,0.8179036378860474,0.8401330649852753
9,"'한'은 '하나'의 준말로, '하나'의 앞말과 결합하여 파생된 말은 '하나'만을 대체할 수 없다. 따라서 '한'을 붙여 쓸 수 있는 조건은 제한된다. '한'을 붙여 쓰는 경우는 앞말이 '하나'의 대체로 널리 쓰이는 말일 때이다. '하나'의 대체로 널리 쓰이는 말은 '하나'를 대체할 수 있는 말로, '하나'를 대체할 수 있는 말은 '하나'의 대체로 널리 쓰이는 말이다. '한'을 붙여 쓸 수 있는 말은 '하나'의 대체로 널리 쓰이는 말이어야 한다. '사발'은 '하나'의 대체로 널리 쓰이는 말이므로 '한 사발'이 옳다.","[104, 39, 83, 18, 70, 5, 78, 13, 69, 4]","[0.872099757194519, 0.872099757194519, 0.8716415762901306, 0.8716415762901306, 0.8599811792373657, 0.8599811792373657, 0.8555372357368469, 0.8555372357368469, 0.8502105474472046, 0.8502105474472046]",method2_semantic_embedding,10,0.872099757194519,0.8502105474472046,0.8618940591812134
